0,68,33527,3342
0,207,34353,1933
0,30,16285,2074
0,28,14922,1671
0,27,14565,1700
0,29,15462,1968
0,43,18742,13454
0,27,14173,1820
0,28,14629,2000
0,37,23967,1930
1,57,11910,1916
1,16,15829,1940
1,2,0,2334
1,0,0,0
1,37,5284,3785
1,25,13891,90
1,14,4486,0
1,13,7766,0
1,48,14474,2132
1,42,13653,0
2,57,46090,0
2,11,8586,2210
2,4,3465,251
2,14,13058,21468
2,36,21502,0
2,21,21222,327
2,52,9612,0
2,22,22461,0
2,20,15406,0
2,33,7783,0
3,63,52840,0
3,27,25009,0
3,0,0,373
3,0,0,0
3,25,20728,0
3,26,0,293
3,35,6001,0
3,23,0,802
3,12,0,0
3,25,9808,0
4,83,73872,0
4,14,14395,16286
4,0,0,0
4,16,15896,2442
4,11,0,2140
4,34,33939,10445
4,22,21589,0
4,28,1691,0
4,26,0,5984
4,27,26702,0
5,87,72714,2204
5,14,0,0
5,21,21114,0
5,0,0,0
5,40,0,0
5,15,0,0
5,28,1708,0
5,21,10870,2250
5,42,12236,15536
5,51,27235,2196
6,79,70106,0
6,13,13157,842
6,14,14497,0
6,0,0,0
6,20,3890,18446744073709551615
6,30,0,18446744073709551615
6,25,0,18446744073709551615
6,36,0,18446744073709551615
6,11,0,18446744073709551615
6,17,0,18446744073709551615
7,84,74683,18446744073709551615
7,0,0,18446744073709551615
7,0,0,18446744073709551615
7,0,0,18446744073709551615
7,40,23952,18446744073709551615
7,16,16328,18446744073709551615
7,36,25030,18446744073709551615
7,39,22235,18446744073709551615
7,6,0,18446744073709551615
7,26,0,18446744073709551615
8,86,76081,18446744073709551615
8,13,0,18446744073709551615
8,0,0,18446744073709551615
8,15,15162,18446744073709551615
8,27,10048,18446744073709551615
8,15,1814,18446744073709551615
8,4,0,18446744073709551615
8,20,17077,18446744073709551615
8,25,0,18446744073709551615
8,8,0,18446744073709551615
9,80,70838,18446744073709551615
9,0,0,18446744073709551615
9,25,24767,18446744073709551615
9,0,0,18446744073709551615
9,36,3247,18446744073709551615
9,2,0,18446744073709551615
9,22,21838,18446744073709551615
9,41,22788,18446744073709551615
9,45,0,18446744073709551615
9,25,9751,18446744073709551615
