0,55,31461,2674
0,126,10707,2471
0,225,11489,3092
0,34,13310,2520
0,29,16632,2348
0,81,67782,2374
0,30,17850,1707
0,66,10421,1712
0,31,17723,2818
0,29,16461,3089
1,44,31400,2132
1,22,19292,2084
1,18,15548,1912
1,18,15992,2898
1,30,16319,2427
1,29,16281,2424
1,27,15719,2287
1,28,15295,2386
1,28,15121,2063
1,30,16963,1785
2,34,27511,2308
2,19,16302,2597
2,27,24746,2417
2,18,16137,2425
2,30,16567,2040
2,38,16673,2166
2,27,15475,2635
2,36,24380,3240
2,28,15760,10097
2,44,22238,2079
3,51,42204,1717
3,11,8757,2013
3,9,7739,2788
3,10,7523,3314
3,23,9245,2363
3,29,13927,2092
3,48,35141,1317
3,28,14814,1736
3,31,17813,1638
3,34,18521,4117
4,52,42741,16534
4,23,19599,1521
4,14,10894,1967
4,11,8698,1491
4,42,18385,1177
4,32,18204,2092
4,40,28188,1774
4,32,18368,1674
4,36,21050,1502
4,30,14838,1720
5,35,27125,2168
5,10,8301,3264
5,9,7639,2187
5,9,7899,1949
5,85,10640,1829
5,20,7984,1930
5,18,9260,1358
5,17,7543,2633
5,17,7485,2491
5,320,19729,1726
6,38,30488,2055
6,11,9134,1789
6,10,8514,10797
6,11,8584,3164
6,311,26983,18446744073709551615
6,20,8115,18446744073709551615
6,110,8330,18446744073709551615
6,19,8805,18446744073709551615
6,17,7599,18446744073709551615
6,30,18744,18446744073709551615
7,33,26006,18446744073709551615
7,10,7907,18446744073709551615
7,10,8529,18446744073709551615
7,9,7572,18446744073709551615
7,20,9000,18446744073709551615
7,55,44357,18446744073709551615
7,31,20871,18446744073709551615
7,22,10799,18446744073709551615
7,79,16082,18446744073709551615
7,88,24889,18446744073709551615
8,34,26269,18446744073709551615
8,10,8093,18446744073709551615
8,10,8481,18446744073709551615
8,11,8168,18446744073709551615
8,22,9577,18446744073709551615
8,19,8047,18446744073709551615
8,107,14744,18446744073709551615
8,18,7241,18446744073709551615
8,19,9711,18446744073709551615
8,118,17419,18446744073709551615
9,50,41737,18446744073709551615
9,24,21078,18446744073709551615
9,22,19437,18446744073709551615
9,14,9995,18446744073709551615
9,23,7472,18446744073709551615
9,34,20170,18446744073709551615
9,24,11313,18446744073709551615
9,42,29569,18446744073709551615
9,36,14214,18446744073709551615
9,29,13145,18446744073709551615
