0,64,31769,2678
0,99,9192,2145
0,36,35852,0
0,68,17415,23679
0,28,0,0
0,23,12012,1750
0,26,13912,1757
0,24,13745,1483
0,29,13328,1763
0,29,13278,1736
1,53,39705,1764
1,0,0,1721
1,14,12542,1849
1,14,13040,24488
1,39,25496,23582
1,31,19268,2574
1,52,42026,1791
1,31,4300,1621
1,24,0,1547
1,18,7786,9433
2,46,38726,1536
2,0,0,1634
2,14,12792,1916
2,14,12372,1708
2,28,15279,1840
2,24,12360,1748
2,23,12806,1768
2,32,12170,0
2,34,22689,2003
2,29,18544,1790
3,49,42495,1683
3,12,11317,1645
3,14,12702,1705
3,14,13507,1851
3,37,23238,2209
3,26,13698,1628
3,24,13406,1847
3,24,13605,0
3,31,0,4194
3,26,0,0
4,49,42478,1802
4,9,8746,1609
4,14,12603,1541
4,23,12367,1480
4,37,22211,1658
4,24,12531,1628
4,23,12534,1717
4,24,12697,1618
4,24,14031,1710
4,24,13051,1723
5,47,40029,1680
5,0,0,1190
5,16,13738,1987
5,18,15571,1776
5,37,23045,1732
5,24,13261,1559
5,24,13609,1710
5,29,28849,10149
5,29,8046,2040
5,32,19814,1626
6,44,39064,14369
6,0,0,2647
6,14,12318,0
6,14,11727,0
6,44,21298,18446744073709551615
6,24,12061,18446744073709551615
6,23,12531,18446744073709551615
6,24,12435,18446744073709551615
6,32,20700,18446744073709551615
6,24,13725,18446744073709551615
7,42,36971,18446744073709551615
7,17,12232,18446744073709551615
7,14,13142,18446744073709551615
7,17,14345,18446744073709551615
7,27,14875,18446744073709551615
7,26,13764,18446744073709551615
7,24,13823,18446744073709551615
7,24,13034,18446744073709551615
7,35,998,18446744073709551615
7,24,0,18446744073709551615
8,47,40096,18446744073709551615
8,14,12609,18446744073709551615
8,32,30450,18446744073709551615
8,23,12709,18446744073709551615
8,35,20123,18446744073709551615
8,29,18104,18446744073709551615
8,22,12067,18446744073709551615
8,24,12311,18446744073709551615
8,26,13788,18446744073709551615
8,35,13963,18446744073709551615
9,44,38646,18446744073709551615
9,5,4793,18446744073709551615
9,14,13205,18446744073709551615
9,16,14098,18446744073709551615
9,29,14501,18446744073709551615
9,26,13645,18446744073709551615
9,29,8871,18446744073709551615
9,18,8035,18446744073709551615
9,29,29007,18446744073709551615
9,14,12796,18446744073709551615
